股票代码,行业,α,α_p值,β,β_95%CI,R²
600000,银行,0.000163,0.5572,0.569,"[0.5247, 0.6133]",0.3283
601398,银行,0.000322,0.2358,0.2481,"[0.2048, 0.2914]",0.0886
000858,白酒,0.000168,0.6982,1.3659,"[1.2965, 1.4353]",0.5346
600519,白酒,0.000395,0.2802,1.0241,"[0.9658, 1.0825]",0.4771
000002,房地产,-0.001001,0.0689,1.0125,"[0.9247, 1.1004]",0.2826
600048,房地产,-0.000311,0.5987,0.8582,"[0.7638, 0.9526]",0.1967
601127,汽车,0.001953,0.0693,1.1874,"[1.0158, 1.359]",0.1243
002594,汽车,0.001723,0.0081,1.3316,"[1.2278, 1.4355]",0.3277
601088,能源,0.000852,0.1001,0.4447,"[0.362, 0.5273]",0.079
600050,通讯,3.4e-05,0.9428,0.7133,"[0.6382, 0.7883]",0.2113
